species,basis_set,method,energy_hartree,slurm_file
cl_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-535.2681689244689,ref:slurm-51129.out|corr:slurm-51584.out
f,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-99.73622755865101,ref:slurm-50335.out|corr:slurm-51476.out
f2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-199.532386621397,ref:slurm-50495.out|corr:slurm-51562.out
h,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-0.500003243615,ref:slurm-50311.out|corr:slurm-51464.out
h-,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-0.527493659714,ref:slurm-50567.out|corr:slurm-51602.out
h2_c_o,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-114.51118768780199,ref:slurm-50475.out|corr:slurm-51548.out
h2_o,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-76.44011093662101,ref:slurm-50403.out|corr:slurm-51510.out
h2_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-151.56555959286501,ref:slurm-50491.out|corr:slurm-51560.out
h2_s,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-399.345349034891,ref:slurm-50435.out|corr:slurm-51526.out
h_c_n,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-93.434324686415,ref:slurm-50463.out|corr:slurm-51542.out
h_c_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-113.85900082971,ref:slurm-51125.out|corr:slurm-51546.out
h_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-460.76825043891404,ref:slurm-50439.out|corr:slurm-51528.out
h_f,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-100.461852905477,ref:slurm-50407.out|corr:slurm-51512.out
h_o_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-535.930812315755,ref:slurm-50551.out|corr:slurm-51594.out
li,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-7.478209102448,ref:slurm-50315.out|corr:slurm-51466.out
li+,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-7.281632529055,ref:slurm-50559.out|corr:slurm-51598.out
li2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-14.99524131483,ref:slurm-50443.out|corr:slurm-51530.out
li_f,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-107.436842853096,ref:slurm-50447.out|corr:slurm-51532.out
li_h,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-8.070930578338,ref:slurm-50359.out|corr:slurm-51488.out
n,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-54.589726550177005,ref:slurm-50327.out|corr:slurm-51472.out
n2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-109.543164709968,ref:slurm-50479.out|corr:slurm-51552.out
n_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-55.222229393766,ref:slurm-50387.out|corr:slurm-51502.out
n_h2,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-55.881010004789,ref:slurm-51111.out|corr:slurm-51504.out
n_h3,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-56.565356194766004,ref:slurm-50395.out|corr:slurm-51506.out
n_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-129.900983346378,ref:slurm-50483.out|corr:slurm-51556.out
na,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-162.25445483250002,ref:slurm-50339.out|corr:slurm-51478.out
na+,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-161.91386448710702,ref:slurm-50563.out|corr:slurm-51600.out
na2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-324.536065144012,ref:slurm-50503.out|corr:slurm-51566.out
na_cl,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-622.5082700829901,ref:slurm-50523.out|corr:slurm-51576.out
o,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-75.068382449181,ref:slurm-50331.out|corr:slurm-51474.out
o2,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-150.327438326358,ref:slurm-50487.out|corr:slurm-51558.out
o_h,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-75.73933731949501,ref:slurm-50399.out|corr:slurm-51508.out
p,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-341.193951409527,ref:slurm-50347.out|corr:slurm-51482.out
p2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-682.5735552170789,ref:slurm-50511.out|corr:slurm-51570.out
p_h2,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-342.441145221027,ref:slurm-51131.out|corr:slurm-51522.out
p_h3,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-343.081561792838,ref:slurm-50431.out|corr:slurm-51524.out
s,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-398.05130429241,ref:slurm-50351.out|corr:slurm-51484.out
s2,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-796.267773056486,ref:slurm-51117.out|corr:slurm-51572.out
s_o,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-473.322049022941,ref:slurm-51123.out|corr:slurm-51582.out
s_o2,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-548.6043212418369,ref:slurm-50555.out|corr:slurm-51596.out
si,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-289.287913400595,ref:slurm-50343.out|corr:slurm-51480.out
si2,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-578.6970846627639,ref:slurm-51109.out|corr:slurm-51568.out
si_h2_singlet,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-290.53479480504205,ref:slurm-50411.out|corr:slurm-51514.out
si_h2_triplet,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-290.501247496716,ref:slurm-51115.out|corr:slurm-51516.out
si_h3,aug-cc-pV(Q+d)Z,ΛUCCSD(T) (mixed),-291.153642523758,ref:slurm-51107.out|corr:slurm-51518.out
si_h4,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-291.80861939334596,ref:slurm-50423.out|corr:slurm-51520.out
si_o,aug-cc-pV(Q+d)Z,ΛCCSD(T) (mixed),-364.665691368577,ref:slurm-50527.out|corr:slurm-51578.out
