species,basis_set,method,energy_hartree,slurm_file
n,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-54.586633027666004,ref:slurm-50327.out|corr:slurm-51332.out
n2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-109.53838621434,ref:slurm-50479.out|corr:slurm-51412.out
n_h,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-55.219850763609,ref:slurm-50387.out|corr:slurm-51362.out
n_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-55.879131103138,ref:slurm-51111.out|corr:slurm-51364.out
n_h3,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-56.563964457167,ref:slurm-50395.out|corr:slurm-51366.out
n_o,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-129.895334212345,ref:slurm-50483.out|corr:slurm-51416.out
na,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-162.248490594036,ref:slurm-50339.out|corr:slurm-51338.out
na+,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-161.914609309716,ref:slurm-50563.out|corr:slurm-51460.out
na2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-324.523959467436,ref:slurm-50503.out|corr:slurm-51426.out
na_cl,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-622.476824969194,ref:slurm-50523.out|corr:slurm-51436.out
o,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-75.064091655453,ref:slurm-50331.out|corr:slurm-51334.out
o2,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-150.32071778375098,ref:slurm-50487.out|corr:slurm-51418.out
o_h,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-75.73572007855,ref:slurm-50399.out|corr:slurm-51368.out
p,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-341.187596700203,ref:slurm-50347.out|corr:slurm-51342.out
p2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-682.556617371583,ref:slurm-50511.out|corr:slurm-51430.out
p_h2,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-342.433965439506,ref:slurm-51131.out|corr:slurm-51382.out
p_h3,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-343.074488996473,ref:slurm-50431.out|corr:slurm-51384.out
s,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-398.03443931800103,ref:slurm-50351.out|corr:slurm-51344.out
s2,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-796.231599660131,ref:slurm-51117.out|corr:slurm-51432.out
s_o,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-473.301511893205,ref:slurm-51123.out|corr:slurm-51442.out
s_o2,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-548.5802977256379,ref:slurm-50555.out|corr:slurm-51456.out
si,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-289.290098633231,ref:slurm-50343.out|corr:slurm-51340.out
si2,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-578.6990435604109,ref:slurm-51109.out|corr:slurm-51428.out
si_h2_singlet,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-290.53579314074204,ref:slurm-50411.out|corr:slurm-51374.out
si_h2_triplet,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-290.50241003229104,ref:slurm-51115.out|corr:slurm-51376.out
si_h3,aug-cc-pV(T+d)Z,ΛUCCSD(T) (mixed),-291.15411947153,ref:slurm-51107.out|corr:slurm-51378.out
si_h4,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-291.808668678546,ref:slurm-50423.out|corr:slurm-51380.out
si_o,aug-cc-pV(T+d)Z,ΛCCSD(T) (mixed),-364.662206926315,ref:slurm-50527.out|corr:slurm-51438.out
