species,basis_set,method,energy_hartree,slurm_file
cl_f,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-559.85174327484,ref:slurm-50297.out|corr:slurm-51755.out
cl_o,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-535.1881581212759,ref:slurm-50655.out|corr:slurm-51753.out
f,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-99.72237630430601,ref:slurm-50579.out|corr:slurm-51645.out
f2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-199.503467637,ref:slurm-50635.out|corr:slurm-51731.out
h,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-0.49987415555000003,ref:slurm-50683.out|corr:slurm-51633.out
h2_c_o,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-114.490608952215,ref:slurm-50631.out|corr:slurm-51717.out
h2_o,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-76.427760750873,ref:slurm-50178.out|corr:slurm-51679.out
h2_o2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-151.539259983586,ref:slurm-50255.out|corr:slurm-51729.out
h2_s,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-399.290729316096,ref:slurm-50206.out|corr:slurm-51695.out
h3_c_o_h,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-115.712773513375,ref:slurm-50241.out|corr:slurm-51719.out
h3_c_s_h,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-438.591137524052,ref:slurm-50737.out|corr:slurm-51761.out
h_c_n,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-93.416696806286,ref:slurm-50227.out|corr:slurm-51711.out
h_c_o,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-113.83876697271499,ref:slurm-51141.out|corr:slurm-51715.out
h_cl,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-460.703317826854,ref:slurm-50691.out|corr:slurm-51697.out
h_f,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-100.448154054913,ref:slurm-50659.out|corr:slurm-51681.out
h_o_cl,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-535.84950333883,ref:slurm-50727.out|corr:slurm-51763.out
li,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-7.477751686565,ref:slurm-50101.out|corr:slurm-51635.out
li2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-14.994353268634,ref:slurm-50213.out|corr:slurm-51699.out
li_f,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-107.417424076353,ref:slurm-50595.out|corr:slurm-51701.out
li_h,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-8.070088483045,ref:slurm-50615.out|corr:slurm-51657.out
n,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-54.582684111252,ref:slurm-50623.out|corr:slurm-51641.out
n2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-109.52549490164499,ref:slurm-50687.out|corr:slurm-51721.out
n2_h4,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-111.856761302296,ref:slurm-50712.out|corr:slurm-51723.out
n_h,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-55.212694575519,ref:slurm-50164.out|corr:slurm-51671.out
n_h2,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-55.869823585245996,ref:slurm-50587.out|corr:slurm-51673.out
n_h3,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-56.553978743528,ref:slurm-50171.out|corr:slurm-51675.out
n_o,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-129.878928760483,ref:slurm-51145.out|corr:slurm-51725.out
na,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-162.216107307806,ref:slurm-50122.out|corr:slurm-51647.out
na2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-324.459110292943,ref:slurm-50262.out|corr:slurm-51735.out
na_cl,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-622.3994095438,ref:slurm-50675.out|corr:slurm-51745.out
o,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-75.057033548344,ref:slurm-50115.out|corr:slurm-51643.out
o2,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-150.302117025775,ref:slurm-51147.out|corr:slurm-51727.out
o_h,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-75.72695105477,ref:slurm-50583.out|corr:slurm-51677.out
p,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-341.16514597647097,ref:slurm-50129.out|corr:slurm-51651.out
p2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-682.4981109989351,ref:slurm-50269.out|corr:slurm-51739.out
p_h2,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-342.404856272511,ref:slurm-50199.out|corr:slurm-51691.out
p_h3,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-343.043654169667,ref:slurm-50571.out|corr:slurm-51693.out
s,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-398.000646374155,ref:slurm-50679.out|corr:slurm-51653.out
s2,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-796.155833778963,ref:slurm-50603.out|corr:slurm-51741.out
s_o,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-473.25555335614797,ref:slurm-50290.out|corr:slurm-51751.out
s_o2,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-548.524658123626,ref:slurm-50702.out|corr:slurm-51765.out
si,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-289.263137833954,ref:slurm-50647.out|corr:slurm-51649.out
si2,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-578.6356629906351,ref:slurm-50575.out|corr:slurm-51737.out
si2_h6,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-582.365430534698,ref:slurm-50717.out|corr:slurm-51757.out
si_h2_singlet,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-290.503826740823,ref:slurm-50185.out|corr:slurm-51683.out
si_h2_triplet,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-290.470712571091,ref:slurm-50599.out|corr:slurm-51685.out
si_h3,aug-ano-pV(D+d)Z,ΛUCCSD(T) (mixed),-291.12148845889396,ref:slurm-50192.out|corr:slurm-51687.out
si_h4,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-291.775040972521,ref:slurm-50639.out|corr:slurm-51689.out
si_o,aug-ano-pV(D+d)Z,ΛCCSD(T) (mixed),-364.622736672834,ref:slurm-50283.out|corr:slurm-51747.out
