species,basis_set,method,energy_hartree,slurm_file
f2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-199.53090557532698,ref:slurm-50635.out|corr:slurm-52003.out
h,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-0.499874147316,ref:slurm-50683.out|corr:slurm-51905.out
h-,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-0.483774965128,ref:slurm-50611.out|corr:slurm-52043.out
h2_c_o,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-114.51053967966101,ref:slurm-50631.out|corr:slurm-51989.out
h2_o,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-76.439623903602,ref:slurm-50178.out|corr:slurm-51951.out
h2_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-151.564939608799,ref:slurm-50255.out|corr:slurm-52001.out
h2_s,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-399.357675424148,ref:slurm-50206.out|corr:slurm-51967.out
h3_c_o_h,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-115.732521446635,ref:slurm-50241.out|corr:slurm-51991.out
h3_c_s_h,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-438.668037045013,ref:slurm-50737.out|corr:slurm-52033.out
h_c_n,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-93.434018488759,ref:slurm-50227.out|corr:slurm-51983.out
h_c_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-113.858556235385,ref:slurm-51141.out|corr:slurm-51987.out
h_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-460.77946959988304,ref:slurm-50691.out|corr:slurm-51969.out
h_f,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-100.461038872382,ref:slurm-50659.out|corr:slurm-51953.out
h_o_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-535.941426507889,ref:slurm-50727.out|corr:slurm-52035.out
li,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-7.478167282681,ref:slurm-50101.out|corr:slurm-51907.out
li+,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-7.279953022373999,ref:slurm-50627.out|corr:slurm-52039.out
li2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-14.99524206838,ref:slurm-50213.out|corr:slurm-51971.out
li_f,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-107.43609338270001,ref:slurm-50595.out|corr:slurm-51973.out
li_h,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-8.070864157571,ref:slurm-50615.out|corr:slurm-51929.out
n,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-54.589866438356005,ref:slurm-50623.out|corr:slurm-51913.out
n2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-109.54297258457899,ref:slurm-50687.out|corr:slurm-51993.out
n2_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-111.877845452866,ref:slurm-50712.out|corr:slurm-51995.out
n_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-55.222043179871,ref:slurm-50164.out|corr:slurm-51943.out
n_h2,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-55.88049013398,ref:slurm-50587.out|corr:slurm-51945.out
n_h3,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-56.564575843397,ref:slurm-50171.out|corr:slurm-51947.out
n_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-129.90067601688799,ref:slurm-51145.out|corr:slurm-51997.out
na,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-162.254529603142,ref:slurm-50122.out|corr:slurm-51919.out
na+,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-162.04705321870102,ref:slurm-50304.out|corr:slurm-52041.out
na2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-324.536106014116,ref:slurm-50262.out|corr:slurm-52007.out
na_cl,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-622.51942470295,ref:slurm-50675.out|corr:slurm-52017.out
o,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-75.068156060964,ref:slurm-50115.out|corr:slurm-51915.out
o2,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-150.327067960187,ref:slurm-51147.out|corr:slurm-51999.out
o_h,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-75.73894681213301,ref:slurm-50583.out|corr:slurm-51949.out
p,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-341.21067367686095,ref:slurm-50129.out|corr:slurm-51923.out
p2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-682.6066959933711,ref:slurm-50269.out|corr:slurm-52011.out
p_h2,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-342.457690732012,ref:slurm-50199.out|corr:slurm-51963.out
p_h3,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-343.098146173887,ref:slurm-50571.out|corr:slurm-51965.out
s,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-398.063496303833,ref:slurm-50679.out|corr:slurm-51925.out
s2,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-796.292086439686,ref:slurm-50603.out|corr:slurm-52013.out
s_o,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-473.333979675974,ref:slurm-50290.out|corr:slurm-52023.out
s_o2,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-548.6162806161019,ref:slurm-50702.out|corr:slurm-52037.out
si,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-289.308045869001,ref:slurm-50647.out|corr:slurm-51921.out
si2,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-578.7371198702771,ref:slurm-50575.out|corr:slurm-52009.out
si2_h6,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-582.474186601259,ref:slurm-50717.out|corr:slurm-52029.out
si_h2_singlet,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-290.55406439176005,ref:slurm-50185.out|corr:slurm-51955.out
si_h2_triplet,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-290.520722994726,ref:slurm-50599.out|corr:slurm-51957.out
si_h3,aug-ano-pV(Q+d)Z,ΛUCCSD(T) (mixed),-291.17308609106,ref:slurm-50192.out|corr:slurm-51959.out
si_h4,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-291.827860251811,ref:slurm-50639.out|corr:slurm-51961.out
si_o,aug-ano-pV(Q+d)Z,ΛCCSD(T) (mixed),-364.685223765056,ref:slurm-50283.out|corr:slurm-52019.out
