formula,De_shci_ref,ZPE,SR_SO,CV,experiment,D0_shci_pbe,D0_shci_ref,De_shci_pbe,De_f12,Exp_f12,D0_f12,D0_exp_f12,De_xtc_ccsdt_avdz,D0_xtc_ccsdt_avdz,De_xtc_dc_ccsdt_avdz,D0_xtc_dc_ccsdt_avdz,De_xtc_ccsdt_avtz,D0_xtc_ccsdt_avtz,De_xtc_dc_ccsdt_avtz,D0_xtc_dc_ccsdt_avtz,De_xtc_ccsdt_avqz,D0_xtc_ccsdt_avqz,De_xtc_dc_ccsdt_avqz,D0_xtc_dc_ccsdt_avqz,De_xtc_ccsdt_pvdz,D0_xtc_ccsdt_pvdz,De_xtc_ccsdt_pvtz,D0_xtc_ccsdt_pvtz,De_xtc_ccsdt_pvqz,D0_xtc_ccsdt_pvqz,De_ccsdt_2z,D0_ccsdt_2z,De_ccsdt_3z,D0_ccsdt_3z,De_ccsdt_4z,D0_ccsdt_4z,De_ccsdt_5z,D0_ccsdt_5z
OH,107.26,-5.29,-0.24,0.14,101.7356,101.81,101.87,107.2,106.95506692160612,107.14627151051624,101.56506692160612,101.75627151051624,108.01466215721828,102.62466215721828,108.06759410934305,102.67759410934305,106.89626132756223,101.50626132756223,106.93456843657911,101.54456843657911,106.80639769189114,101.41639769189113,106.84566204527133,101.45566204527132,106.16227657493172,100.77227657493172,106.73338779540737,101.34338779540737,106.8188964845797,101.4288964845797,94.18226945265295,88.79226945265295,102.93414408742099,97.54414408742099,105.55399614162776,100.16399614162776,106.43125438636464,101.04125438636464
H2O,233.01,-13.26,-0.49,0.38,219.3756,219.51,219.64,232.88,232.56453154875715,233.01625239005736,219.19453154875714,219.64625239005736,234.5380005727078,221.1680005727078,234.5273416905066,221.1573416905066,232.16966577841654,218.79966577841654,232.11115940172803,218.74115940172803,232.23435880050118,218.86435880050118,232.1852250847828,218.81522508478278,231.37421246740544,218.00421246740544,232.10948327058486,218.73948327058486,232.28053485322033,218.91053485322033,208.71592616812927,195.34592616812927,225.11463125383014,211.74463125383014,229.965279488317,216.595279488317,231.6049617440507,218.2349617440507
HF,141.76,-5.86,-0.58,0.17,135.2756,135.37,135.49,141.64000000000004,141.51290630975143,141.73518164435944,135.2429063097514,135.4651816443594,142.73989980819334,136.4698998081933,142.70339778602744,136.4333977860274,141.20364353973588,134.93364353973584,141.15159720742068,134.88159720742064,141.42829398089486,135.15829398089483,141.38067412174536,135.11067412174532,139.94217145423366,133.67217145423362,140.80544675413137,134.53544675413133,141.4433803164317,135.17338031643166,126.33773743206805,120.06773743206806,136.95080516690768,130.68080516690765,139.96034060451362,133.69034060451358,140.951805573527,134.68180557352696
SiH2,153.9,-7.3,-0.6,0.0,144.1058,146.05,146.0,153.95000000000002,153.6782982791587,153.70697896749522,145.7782982791587,145.8069789674952,153.11351840537313,145.21351840537312,153.34626628651816,145.44626628651815,153.61704858867134,145.71704858867133,153.82172902776782,145.9217290277678,153.51079945384976,145.61079945384975,153.71831446054466,145.81831446054466,151.95333274330545,144.05333274330545,153.38269774900772,145.4826977490077,153.5282046471088,145.6282046471088,140.37261432897554,132.47261432897554,149.35854999755782,141.4585499975578,152.20932553823425,144.30932553823425,153.18322024194688,145.28322024194688
SiH2_triplet,133.31,-7.5,-0.8,-0.5,123.4024,124.42,124.51,133.22000000000003,133.26003824091777,132.82026768642447,124.46003824091777,124.02026768642448,132.14005640631362,123.34005640631362,132.33608297018407,123.53608297018407,132.93314534257289,124.13314534257289,133.1101683587035,124.3101683587035,133.0883248812955,124.28832488129551,133.26821964245036,124.46821964245036,131.27433620023547,122.47433620023547,132.7238560635079,123.9238560635079,133.05547996426398,124.25547996426398,121.68789222925594,112.88789222925594,129.2713442233168,120.47134422331679,131.99097028392416,123.19097028392416,132.7803772022643,123.98037720226431
SiH3,228.22,-13.2,-0.8,-0.2,212.2058,214.02,214.02,228.22,228.08317399617587,227.87762906309752,213.88317399617588,213.67762906309753,227.38979611835845,213.18979611835846,227.5877554302348,213.38775543023482,228.00225144247327,213.80225144247328,228.165588722958,213.96558872295802,227.88806874866933,213.68806874866934,228.05390572443912,213.85390572443913,226.4271690318319,212.22716903183192,227.72758445130378,213.5275844513038,227.91821956923542,213.71821956923543,210.3430582343599,196.1430582343599,222.10823336357765,207.90823336357766,226.16006203761046,211.96006203761047,227.4106884194353,213.21068841943531
SiH4,324.8,-19.4,-1.0,-0.2,302.6058,304.27,304.2,324.86999999999995,324.58891013384317,324.5482791586998,303.9889101338432,303.94827915869985,324.47574746895026,303.8757474689503,324.63846302120515,304.0384630212052,324.8468909274275,304.24689092742756,324.96140953897606,304.3614095389761,324.4467798802488,303.84677988024885,324.562556366541,303.96255636654104,323.8183576026661,303.2183576026661,324.5227346617519,303.9227346617519,324.55582860905605,303.9558286090561,301.4291959419819,280.82919594198194,316.89291191133515,296.2929119113352,322.1307334913491,301.5307334913491,323.8024187302773,303.2024187302773
PH2,154.24,-8.4,-0.2,0.3,144.7024,145.96,145.94,154.26,153.96988527724665,154.27103250478012,145.66988527724666,145.97103250478014,153.12660489959111,144.82660489959113,153.44036419359676,145.14036419359678,153.49394722946957,145.1939472294696,153.79704326502238,145.4970432650224,153.45353339481872,145.15353339481874,153.7734091855654,145.47340918556543,151.5910516507045,143.2910516507045,154.72571731490982,146.42571731490983,153.38106243170782,145.08106243170784,137.08822974171048,128.7882297417105,148.05207527253967,139.75207527253968,151.86105778011677,143.56105778011678,153.18635778934495,144.88635778934497
PH3,241.91,-14.44,-0.44,0.33,227.1058,227.36,227.36,241.91,241.4746653919694,241.93116634799233,226.92466539196943,227.38116634799235,241.0768914389394,226.52689143893943,241.38669383327593,226.83669383327594,241.06142381546917,226.5114238154692,241.34174753095218,226.7917475309522,240.94567136153393,226.39567136153394,241.2431489546158,226.69314895461582,239.53097690861108,224.9809769086111,243.35824866925273,228.80824866925275,240.9132061711939,226.36320617119392,218.4511081487328,203.90110814873282,233.45925223988934,218.90925223988935,238.63432287251274,224.08432287251276,240.49551597259327,225.94551597259328
H2S,183.63,-9.4,-0.93,0.24,173.2058,173.41,173.54,183.5,183.29827915869978,183.7284894837476,173.20827915869978,173.6384894837476,183.93305715573808,173.84305715573808,184.03653473369857,173.94653473369857,183.00930016906085,172.91930016906085,183.07002287783519,172.98002287783518,183.15178611105108,173.06178611105108,183.22179229162205,173.13179229162205,182.5185538127085,172.4285538127085,184.5771030311731,174.4871030311731,182.8359465541135,172.7459465541135,166.77884050702235,156.68884050702235,177.25071861021542,167.1607186102154,181.09233161039708,171.00233161039708,182.5757640070466,172.48576400704658
HCl,107.41,-4.24,-1.0,0.3,102.2156,102.3,102.47,107.24,107.19885277246652,107.45219885277245,102.25885277246653,102.51219885277246,107.0769138666474,102.1369138666474,107.10750939439352,102.16750939439352,106.53411435507138,101.59411435507138,106.95017163221672,102.01017163221672,106.84856177345557,101.90856177345557,106.86517857008535,101.92517857008535,106.31281966577811,101.37281966577811,106.84708232386099,101.90708232386099,106.35653566047647,101.41653566047647,98.10859623186002,93.16859623186002,103.92874660379675,98.98874660379676,105.99639032082216,101.05639032082216,106.83662550657579,101.89662550657579
Li2,24.14,-0.5,0.0,0.2,23.9058,23.84,23.84,24.14,24.196940726577434,24.196940726577434,23.896940726577434,23.896940726577434,24.29477762665875,23.99477762665875,24.29477762603122,23.99477762603122,24.31165488552958,24.01165488552958,24.31165488552958,24.01165488552958,24.20955676541188,23.909556765411878,24.20955676541188,23.909556765411878,21.69283311841378,21.39283311841378,23.207412003692415,22.907412003692414,24.055175709905132,23.75517570990513,22.40710829984606,22.107108299846058,23.72236815748112,23.42236815748112,24.02294519555756,23.72294519555756,24.06436082084594,23.76436082084594
LiF,138.15,-1.3,-0.6,0.9,137.6058,137.34,137.15,138.34,139.36902485659655,139.57695984703633,138.36902485659655,138.57695984703633,140.69329084313603,139.69329084313603,140.60703587326023,139.60703587326023,140.08650736004032,139.08650736004032,140.24694866547756,139.24694866547756,140.33927894488497,139.33927894488497,140.49421836334048,139.49421836334048,133.7084391988776,132.7084391988776,136.79996361372275,135.79996361372275,139.5158252430964,138.5158252430964,122.34928721493398,121.349287214934,132.12776734925447,131.12776734925447,136.31200052231023,135.31200052231023,137.33484096502778,136.33484096502778
C2H2,403.16,-16.5,-0.46,2.47,388.6456,388.84,388.67,403.3299999999999,402.76290630975143,405.3035372848948,388.2729063097515,390.81353728489484,405.91406754737045,391.4240675473705,406.30248377641016,391.8124837764102,404.7137591146476,390.22375911464763,404.9944634441208,390.50446344412086,405.4471966978441,390.95719669784415,405.73787741389816,391.2478774138982,407.4309350218258,392.94093502182585,404.86158152333593,390.371581523336,405.34507064539736,390.8550706453974,370.1998417330083,355.7098417330084,393.19618142899117,378.7061814289912,399.419192883267,384.92919288326704,401.2960737201951,386.8060737201952
C2H4,561.72,-31.66,-0.5,2.36,532.0456,532.09,531.92,561.89,561.3408221797323,563.7547801147227,531.5408221797323,533.9547801147228,565.9067756786465,536.1067756786465,566.2345066863276,536.4345066863276,563.7291093776308,533.9291093776309,563.9669447742668,534.1669447742669,564.1512750760988,534.3512750760989,,,566.123951397635,536.323951397635,563.8678651824245,534.0678651824245,564.0871503303583,534.2871503303584,525.1212632181177,495.32126321811774,551.0060290232238,521.2060290232239,557.8295670441778,528.0295670441778,559.8658352875169,530.065835287517
C2H6,711.36,-46.23,-0.56,2.42,666.1956,666.97,666.99,711.34,710.2031548757169,712.6290630975143,665.8331548757169,668.2590630975143,715.4969104070362,671.1269104070362,715.5370647941288,671.1670647941288,712.9666713543082,668.5966713543082,712.9228459012512,668.5528459012512,713.265430481124,668.895430481124,,,715.8356034774945,671.4656034774945,713.3543028080779,668.9843028080779,713.3352589767385,668.9652589767385,668.6703305047978,624.3003305047978,699.1754485674292,654.8054485674292,706.6666566687949,662.2966566687949,708.8365844300929,664.4665844300929
CN,180.24,-2.95,-0.24,1.1,178.1256,178.58,178.15,180.67000000000002,180.06453154875715,181.30019120458888,177.97453154875714,179.21019120458888,180.4406126639459,178.3506126639459,181.3048248605905,179.21482486059048,180.77328514683774,178.68328514683773,181.56389051041327,179.47389051041327,180.9014911776398,178.8114911776398,181.69778724642205,179.60778724642205,182.03673503364323,179.94673503364322,181.02295358814422,178.93295358814422,180.86630635872797,178.77630635872796,158.08846180070884,155.99846180070884,170.8902825810744,168.80028258107438,176.1117889147504,174.0217889147504,177.77719905891814,175.68719905891814
HCN,311.91,-9.95,-0.31,1.67,303.1456,303.76,303.32,312.34999999999997,311.52246653919696,313.3293499043977,302.932466539197,304.7393499043977,314.4168304954976,305.82683049549763,314.81585528487085,306.2258552848709,313.4790480313877,304.88904803138774,313.7823835233005,305.1923835233005,313.6845160532332,305.09451605323324,314.0047470287728,305.4147470287728,315.80736465458,307.21736465458,313.4366353311945,304.84663533119453,313.5954934766646,305.00549347666464,282.5725362464107,273.98253624641075,301.2936538956054,292.70365389560544,307.6553449436468,299.06534494364683,309.6564726564468,301.0664726564468
CO,258.61,-3.09,-0.46,0.95,256.2356,256.47,256.01,259.07,258.876673040153,259.9354684512428,256.27667304015296,257.33546845124283,262.04219431006834,259.4421943100684,262.3634157653882,259.76341576538823,260.17100547729666,257.5710054772967,260.41775802012876,257.8177580201288,260.26215390159774,257.6621539015978,260.51198872076435,257.9119887207644,263.6782248321403,261.07822483214034,260.64027537523987,258.0402753752399,260.30811769170623,257.70811769170626,241.4003846341727,238.80038463417267,251.67773480038903,249.077734800389,255.98872488718868,253.38872488718866,257.26633417639255,254.66633417639252
HCO,278.1,-8.09,-0.59,1.16,270.7656,270.92,270.58,278.43999999999994,278.2815487571701,279.5387189292543,270.7615487571702,272.01871892925436,280.8679302070053,273.3479302070054,281.1470146446151,273.6270146446152,279.0535552995108,271.53355529951085,279.26477335632967,271.74477335632974,279.41421477020975,271.8942147702098,,,280.51910976804754,272.9991097680476,278.5406366765157,271.0206366765158,279.19274629844057,271.67274629844064,255.11460418982313,247.59460418982312,269.69917938600423,262.1791793860043,274.8905652649121,267.37056526491216,276.5227174069582,269.00271740695825
H2CO,373.42,-16.52,-0.65,1.3,357.4856,357.88,357.55,373.74999999999994,373.2098470363288,374.62476099426385,357.3398470363289,358.7547609942639,377.1180702364355,361.2480702364356,377.30906363089923,361.4390636308993,374.34701427558025,358.4770142755803,374.45729459652415,358.5872945965242,374.69122593292866,358.8212259329287,374.8143435471341,358.94434354713417,376.3953007962246,360.52530079622466,373.6411576809335,357.7711576809335,374.43965880106407,358.5696588010641,344.8189660355601,328.94896603556015,363.7584569817481,347.88845698174816,369.7480349116644,353.87803491166443,371.61738563491383,355.7473856349139
CH3OH,512.44,-31.72,-0.8,1.5,480.9756,481.52,481.42,512.54,511.82839388145305,513.3460803059273,480.808393881453,482.3260803059273,515.6049834879436,484.5849834879436,515.574044515477,484.55404451547696,513.0133070665687,481.99330706656866,512.8939492644804,481.87394926448036,513.0088834793205,481.98888347932046,,,512.2919322699299,481.2719322699299,512.2899912030342,481.2699912030342,512.7417517279638,481.72175172796375,472.2404123293456,441.2204123293456,500.1200307525001,469.1000307525001,507.82459207504365,476.8045920750437,510.26058385335045,479.2405838533504
N2,227.66,-3.36,-0.14,0.8,224.9456,225.62,224.96,228.32,227.43546845124283,228.44646271510516,224.73546845124284,225.74646271510517,230.78435166043286,228.08435166043287,231.2273545119136,228.52735451191361,229.8306740901805,227.13067409018052,230.2071802678392,227.5071802678392,228.83618978214204,226.13618978214205,229.24126595348272,226.54126595348274,230.78435166043286,228.08435166043287,230.35997981184556,227.65997981184557,228.90039221167243,226.20039221167244,199.85298235645604,197.15298235645605,216.38848450749614,213.68848450749616,222.85747967560783,220.15747967560785,225.11400374434874,222.41400374434875
N2H4,438.61,-32.68,-0.51,1.14,404.8156,406.6,406.56,438.65000000000003,436.6993307839388,438.0234225621415,404.6493307839388,405.9734225621415,442.1361154387587,410.08611543875867,442.279489306027,410.229489306027,439.93006244209045,407.88006244209043,439.9915555687213,407.9415555687213,439.3257736925632,407.2757736925632,,,440.9660170609859,408.9160170609859,439.34306696699525,407.29306696699524,439.0137258415422,406.9637258415422,386.4648873007145,354.4148873007145,420.6239930308195,388.5739930308195,431.03061014866967,398.98061014866965,434.5446632034416,402.4946632034416
NO,152.33,-2.71,-0.23,0.42,149.8156,150.23,149.81,152.75,152.18690248565966,152.79158699808795,149.66690248565965,150.27158699808794,154.1837049135646,151.6637049135646,154.6008531975074,152.0808531975074,152.68627216743738,150.16627216743737,153.05643034379426,150.53643034379425,152.05942809249873,149.53942809249872,152.45129102274663,149.93129102274662,156.09779676235095,153.57779676235094,152.50148165957145,149.98148165957144,151.90231847770505,149.38231847770504,131.6853731700244,129.1653731700244,143.50074905718316,140.98074905718315,148.43862110856753,145.91862110856752,150.1755673327762,147.6555673327762
O2,120.5,-2.25,-0.62,0.24,117.9956,117.95,117.87,120.58000000000001,120.54493307839388,120.90822179732312,117.91493307839387,118.27822179732311,120.49921186085015,117.86921186085014,120.94747038530102,118.31747038530101,118.68813772598119,116.05813772598118,119.11466164215364,116.48466164215363,118.33708943637407,115.70708943637406,118.80595588650947,116.17595588650946,121.12277381337502,118.49277381337501,117.8081906539734,115.17819065397339,117.85939335502017,115.22939335502016,104.08876151968906,101.45876151968905,113.76621262869077,111.13621262869076,117.33234896977652,114.70234896977651,118.61874339162183,115.98874339162182
H2O2,269.21,-16.44,-0.82,0.36,252.2156,252.33,252.31,269.23,268.6543977055449,269.20172084130013,251.75439770554493,252.30172084130015,271.1807326842294,254.2807326842294,271.3210315423533,254.42103154235332,267.8763412676474,250.9763412676474,267.9204381718874,251.0204381718874,267.3545224198751,250.4545224198751,267.43143756759656,250.53143756759658,265.18733379012593,248.28733379012596,266.2916958140504,249.39169581405042,266.8345532447523,249.93455324475235,235.58337180959836,218.68337180959838,258.09778422954037,241.1977842295404,264.47516301442937,247.5751630144294,266.7467473105276,249.84674731052763
F2,39.09,-1.3,-0.79,-0.11,36.9356,36.93,36.89,39.129999999999995,38.754780114722756,38.793021032504775,36.55478011472276,36.59302103250478,37.716524245857535,35.51652424585754,38.05601616662063,35.856016166620634,38.50191048261218,36.301910482612186,38.81781060488428,36.61781060488428,37.46732555500202,35.267325555002024,37.83218044799318,35.632180447993186,34.49777146185424,32.297771461854246,35.15316796208753,32.953167962087534,35.739697385896754,33.53969738589676,26.610166757119643,24.410166757119644,34.82740331997139,32.62740331997139,36.72185442216461,34.521854422164616,37.567737193206206,35.36773719320621
CO2,388.19,-7.24,-1.01,1.77,381.9856,382.46,381.71,388.94,388.5922562141491,390.5234225621415,382.11225621414906,384.0434225621415,393.6773891261535,387.1973891261535,393.98075363786324,387.5007536378632,389.3943865624084,382.91438656240837,389.56629048927897,383.08629048927895,390.36477298116813,383.8847729811681,390.55355015147495,384.07355015147493,393.4067206661404,386.9267206661404,387.9077854963941,381.4277854963941,389.8453109730106,383.3653109730106,356.0250302233725,349.54503022337246,375.71439499106316,369.23439499106314,383.55889092631725,377.07889092631723,385.9271116814447,379.4471116814447
Na2,16.74,-0.2,0.0,0.3,17.0058,16.85,16.84,16.75,17.100860420650093,17.15583173996176,17.200860420650095,17.25583173996176,16.26422446529715,16.364224465297152,16.33580148468155,16.43580148468155,17.020253807099234,17.120253807099235,17.179979298668375,17.279979298668376,16.970813464521886,17.070813464521887,,,16.74025326087192,16.840253260871922,16.946956011779726,17.046956011779727,16.961268716607886,17.061268716607888,15.550312276769349,15.65031227676935,16.437610673065887,16.53761067306589,16.534874641549788,16.63487464154979,16.661004045839054,16.761004045839055
Si2,76.66,-0.73,-1.01,0.13,74.4058,75.03,75.05,76.64000000000001,73.4106118546845,73.55401529636711,71.80061185468449,71.9440152963671,72.92954171594867,71.31954171594866,73.91757855113822,72.3075785511382,74.79858135700822,73.1885813570082,75.82755477236174,74.21755477236172,75.01487198894378,73.40487198894377,76.06490768511999,74.45490768511998,71.45385746802181,69.8438574680218,74.46951148444585,72.85951148444583,74.86957362604625,73.25957362604623,60.66196836716325,59.051968367163255,70.13924395390919,68.52924395390917,73.4794768844032,71.86947688440318,74.83677987679911,73.2267798767991
P2,116.66,-1.11,-0.25,0.77,116.0058,116.29,116.07,116.88000000000001,115.9512428298279,116.94311663479924,115.3612428298279,116.35311663479924,112.20591532393958,111.61591532393957,113.16722811822756,112.57722811822755,113.91896481455933,113.32896481455933,114.87995727781124,114.28995727781124,114.39004209038696,113.80004209038695,115.39256776039818,114.80256776039818,109.53305561109565,108.94305561109564,113.77594037280316,113.18594037280316,113.94431873370374,113.35431873370374,88.70662178195423,88.11662178195422,103.62001194255245,103.03001194255245,110.6587857131106,110.0687857131106,113.64447579072669,113.05447579072668
S2,103.95,-1.04,-1.4,0.34,100.8058,101.51,101.85,103.61000000000001,103.11185468451242,103.71414913957935,101.01185468451241,101.61414913957934,100.86961959697894,98.76961959697893,101.40940239190326,99.30940239190325,102.55809773740218,100.45809773740217,103.04521712664591,100.9452171266459,102.98395137305285,100.88395137305284,103.51465134359044,101.41465134359044,98.80853796614163,96.70853796614162,101.948316366697,99.84831636669699,101.78727485786291,99.6872748578629,80.93930951206471,78.8393095120647,93.10985576153821,91.0098557615382,98.65829453117823,96.55829453117822,101.54421060231348,99.44421060231348
Cl2,59.92,-0.8,-1.82,-0.13,57.1856,56.75,57.17,59.5,59.07265774378585,59.32600382409178,56.32265774378585,56.57600382409178,56.036580576392886,53.286580576392886,56.2585705957573,53.5085705957573,58.80005833248786,56.05005833248786,59.39912294139921,56.64912294139921,59.44022003597686,56.69022003597686,59.455123046501186,56.705123046501186,54.90375304916021,52.15375304916021,55.003178129519206,52.253178129519206,56.7888481771162,54.0388481771162,40.86780951728323,38.11780951728323,51.91511380816611,49.16511380816611,55.90230900642657,53.15230900642657,58.139380281377946,55.389380281377946
NaCl,100.03,-0.5,-1.1,-1.2,97.4058,96.85,97.23,99.64999999999999,98.46558317399618,98.69980879541107,95.66558317399618,95.89980879541108,91.50019279155069,88.70019279155069,91.54515176391656,88.74515176391657,97.60966436708941,94.80966436708941,98.59002214294254,95.79002214294255,101.15929639075024,98.35929639075025,101.20142592603646,98.40142592603647,87.05641784460376,84.25641784460376,88.74777133885856,85.94777133885856,96.07421367270216,93.27421367270216,85.77238748129543,82.97238748129543,93.26987067730566,90.46987067730566,96.97405910283612,94.17405910283613,98.63821422791624,95.83821422791624
SiO,192.01,-1.78,-0.9,0.95,189.8058,190.53,190.28,192.26000000000002,192.3589866156788,193.401051625239,190.62898661567877,191.671051625239,188.56909787865638,186.83909787865636,188.75165137548902,187.021651375489,191.72951104034033,189.9995110403403,191.83016898354532,190.1001689835453,193.10382048451672,191.3738204845167,193.19573175137202,191.465731751372,181.4530338715898,179.7230338715898,189.72647363864021,187.9964736386402,192.64013806521697,190.91013806521696,160.203168728295,158.47316872829498,180.61354188171865,178.88354188171863,187.00221583714796,185.27221583714794,189.8617765104391,188.1317765104391
