species,basis_set,method,energy_hartree,slurm_file
h3_c_o_h,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-115.733509131599,ref:slurm-50241.out|corr:slurm-51853.out
h3_c_s_h,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-438.650850894916,ref:slurm-50737.out|corr:slurm-51895.out
h_c_n,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-93.433949500255,ref:slurm-50227.out|corr:slurm-51845.out
h_c_o,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-113.85867684997899,ref:slurm-51141.out|corr:slurm-51849.out
h_cl,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-460.757610761169,ref:slurm-50691.out|corr:slurm-51831.out
h_f,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-100.462025318002,ref:slurm-50659.out|corr:slurm-51815.out
h_o_cl,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-535.919288787349,ref:slurm-50727.out|corr:slurm-51897.out
li,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-7.478240660669,ref:slurm-50101.out|corr:slurm-51769.out
li+,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-7.280085246664,ref:slurm-50627.out|corr:slurm-51901.out
li2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-14.99540610123,ref:slurm-50213.out|corr:slurm-51833.out
li_f,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-107.435982125804,ref:slurm-50595.out|corr:slurm-51835.out
n,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-54.589589049115006,ref:slurm-50623.out|corr:slurm-51775.out
n2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-109.543402096781,ref:slurm-50687.out|corr:slurm-51855.out
n2_h4,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-111.87849804405599,ref:slurm-50712.out|corr:slurm-51857.out
n_h,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-55.221934604121,ref:slurm-50164.out|corr:slurm-51805.out
n_h2,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-55.88061332924,ref:slurm-50587.out|corr:slurm-51807.out
n_h3,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-56.564989161896,ref:slurm-50171.out|corr:slurm-51809.out
n_o,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-129.900832979428,ref:slurm-51145.out|corr:slurm-51859.out
na,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-162.248548124137,ref:slurm-50122.out|corr:slurm-51781.out
na+,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-162.04190969405602,ref:slurm-50304.out|corr:slurm-51903.out
na2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-324.524124704553,ref:slurm-50262.out|corr:slurm-51869.out
na_cl,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-622.488348647075,ref:slurm-50675.out|corr:slurm-51879.out
o,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-75.06804771062,ref:slurm-50115.out|corr:slurm-51777.out
o2,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-150.327248413814,ref:slurm-51147.out|corr:slurm-51861.out
o_h,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-75.739164231484,ref:slurm-50583.out|corr:slurm-51811.out
p,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-341.19891453650695,ref:slurm-50129.out|corr:slurm-51785.out
p2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-682.578114509449,ref:slurm-50269.out|corr:slurm-51873.out
p_h2,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-342.444892738564,ref:slurm-50199.out|corr:slurm-51825.out
p_h3,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-343.085338510322,ref:slurm-50571.out|corr:slurm-51827.out
s,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-398.045666996904,ref:slurm-50679.out|corr:slurm-51787.out
s2,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-796.254459100775,ref:slurm-50603.out|corr:slurm-51875.out
s_o,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-473.315775712136,ref:slurm-50290.out|corr:slurm-51885.out
s_o2,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-548.597993895105,ref:slurm-50702.out|corr:slurm-51899.out
si,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-289.29424015467,ref:slurm-50647.out|corr:slurm-51783.out
si2,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-578.7074300184751,ref:slurm-50575.out|corr:slurm-51871.out
si2_h6,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-582.444785666691,ref:slurm-50717.out|corr:slurm-51891.out
si_h2_singlet,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-290.539716690176,ref:slurm-50185.out|corr:slurm-51817.out
si_h2_triplet,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-290.506244139476,ref:slurm-50599.out|corr:slurm-51819.out
si_h3,aug-ano-pV(T+d)Z,ΛUCCSD(T) (mixed),-291.158596129512,ref:slurm-50192.out|corr:slurm-51821.out
si_h4,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-291.813421026946,ref:slurm-50639.out|corr:slurm-51823.out
si_o,aug-ano-pV(T+d)Z,ΛCCSD(T) (mixed),-364.66978005759097,ref:slurm-50283.out|corr:slurm-51881.out
