species,basis_set,method,energy_hartree,slurm_file
li_h,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-8.070037405397,ref:slurm-50359.out|corr:slurm-51206.out
n,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-54.57080892503,ref:slurm-50327.out|corr:slurm-51190.out
n2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-109.499748600663,ref:slurm-50479.out|corr:slurm-51270.out
n_h,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-55.201207500561004,ref:slurm-50387.out|corr:slurm-51220.out
n_h3,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-56.542983121687,ref:slurm-50395.out|corr:slurm-51224.out
n_o,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-129.851965463802,ref:slurm-50483.out|corr:slurm-51274.out
na,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-162.215630693746,ref:slurm-50339.out|corr:slurm-51196.out
na+,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-161.90685245410302,ref:slurm-50563.out|corr:slurm-51318.out
na2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-324.459060261056,ref:slurm-50503.out|corr:slurm-51284.out
na_cl,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-622.376078157387,ref:slurm-50523.out|corr:slurm-51294.out
o,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-75.041624509086,ref:slurm-50331.out|corr:slurm-51192.out
o2,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-150.272361321772,ref:slurm-50487.out|corr:slurm-51276.out
o_h,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-75.71154148138501,ref:slurm-50399.out|corr:slurm-51226.out
p,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-341.143172234982,ref:slurm-50347.out|corr:slurm-51200.out
p2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-682.455482630841,ref:slurm-50511.out|corr:slurm-51288.out
p_h2,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-342.384505881454,ref:slurm-51131.out|corr:slurm-51240.out
p_h3,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-343.024169198918,ref:slurm-50431.out|corr:slurm-51242.out
s,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-397.980866638752,ref:slurm-50351.out|corr:slurm-51202.out
s2,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-796.117171760893,ref:slurm-51117.out|corr:slurm-51290.out
s_o,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-473.22295080031,ref:slurm-51123.out|corr:slurm-51300.out
s_o2,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-548.477679648016,ref:slurm-50555.out|corr:slurm-51314.out
si,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-289.243165617956,ref:slurm-50343.out|corr:slurm-51198.out
si2,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-578.596394516905,ref:slurm-51109.out|corr:slurm-51286.out
si_h2_singlet,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-290.48619827403405,ref:slurm-50411.out|corr:slurm-51232.out
si_h2_triplet,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-290.453906177421,ref:slurm-51115.out|corr:slurm-51234.out
si_h3,aug-cc-pV(D+d)Z,ΛUCCSD(T) (mixed),-291.104931144046,ref:slurm-51107.out|corr:slurm-51236.out
si_h4,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-291.758910596524,ref:slurm-50423.out|corr:slurm-51238.out
si_o,aug-cc-pV(D+d)Z,ΛCCSD(T) (mixed),-364.58941777510597,ref:slurm-50527.out|corr:slurm-51296.out
